property_type,count,percentage
House - single occupancy,3710,12.192717234126462
Purpose Built Flats/Maisonettes - 4 to 9 storeys,3113,10.23070855790719
Purpose Built Flats/Maisonettes - Up to 3 storeys,2796,9.188904955961615
Car,1583,5.202445116340213
Self contained Sheltered Housing,1401,4.60431181806231
Purpose built office,1219,4.0061785197844095
Converted Flat/Maisonettes - 3 or more storeys,1069,3.513211515709215
Small refuse/rubbish container,919,3.0202445116340213
Converted Flat/Maisonette - Up to 2 storeys,907,2.980807151308006
Single shop,833,2.7376100959642438
Purpose Built Flats/Maisonettes - 10 or more storeys,692,2.2742211121335614
Retirement/Old Persons Home,647,2.126331010911003
Road surface/pavement,516,1.695806494018667
Loose refuse,455,1.4953332456947548
Multiple Vehicles,437,1.4361772052057316
Infant/Primary school,417,1.3704482713290391
Hospital,394,1.2948599973708426
Domestic garden (vegetation not equipment),384,1.2619955304324963
Restaurant/cafe,344,1.1305376626791113
Nursing/Care Home/Hospice,278,0.9136321808860262
Motorcycle,276,0.9070592874983567
Secondary school,271,0.8906270540291836
Hostel (e.g. for homeless people),267,0.8774812672538452
Tree scrub,252,0.8281845668463258
College/University,223,0.7328776127251216
Large refuse/rubbish container (eg skip/ paladin),222,0.729591166031287
Large supermarket,221,0.7263047193374523
Warehouse,215,0.7065860391744446
Converted office,202,0.6638622321545945
Hotel/motel,196,0.6441435519915867
Pub/wine bar/bar,183,0.6014197449717366
Wheelie bin (domestic size),173,0.5685552780333903
Park,168,0.5521230445642172
Medical/health centre,158,0.5192585776258709
Student Hall of Residence,146,0.47982121729985544
Van,146,0.47982121729985544
Common external bin storage area,136,0.4469567503615091
Gym,111,0.3647955830156435
Leisure Centre,102,0.33521756277113185
Hedge,102,0.33521756277113185
Shopping Centre,102,0.33521756277113185
Fence,96,0.3154988826081241
Bus/coach,94,0.30892598922045483
Private Garden Shed,89,0.2924937557512817
Community centre/Hall,89,0.2924937557512817
Scrub land,80,0.2629157355067701
Pre School/nursery,77,0.2530563954252662
Lorry/HGV,75,0.24648350203759695
Factory,75,0.24648350203759695
Licensed House in Multiple Occupation - Up to 2 storeys,72,0.23662416195609307
Fire station,71,0.23333771526225844
Cycle path/public footpath/bridleway,68,0.22347837518075456
Bungalow - single occupancy,67,0.22019192848691996
Takeaway/ fast food,66,0.21690548179308533
Library,65,0.21361903509925068
Boarding House/B&B for homeless/asylum seekers,62,0.2037596950177468
Other outdoor location,62,0.2037596950177468
Church/Chapel,62,0.2037596950177468
Grassland/ pasture/ grazing etc,62,0.2037596950177468
Wasteland,61,0.2004732483239122
Other outdoor structures,60,0.19718680163007757
Food and drink processing,59,0.19390035493624294
Club/night club,58,0.19061390824240831
Airport - terminal,53,0.17418167477323518
Roadside furniture (eg lamp posts/ road signs/ telegraph poles/ speed cameras),52,0.17089522807940055
Police station,52,0.17089522807940055
Licensed House in Multiple Occupation - 3 or more storeys,52,0.17089522807940055
Playground/Recreation area (not equipment),52,0.17089522807940055
Department Store,51,0.16760878138556592
Refuse/rubbish tip,50,0.1643223346917313
Other education establishment,50,0.1643223346917313
Other building/use not known,49,0.16103588799789667
Other retail,49,0.16103588799789667
Private garage,48,0.15774944130406204
Nurses'/Doctors' accommodation,47,0.15446299461022742
Other retail warehouse,43,0.1413172078348889
Petrol station,41,0.13474431444721965
Doctors surgery,41,0.13474431444721965
TV/film/music/art studio,40,0.13145786775338505
Train station - platform (below ground),40,0.13145786775338505
Bank/Building Society,39,0.1281714210595504
Sports/Social club,39,0.1281714210595504
Cables,39,0.1281714210595504
DIY Warehouse,39,0.1281714210595504
Prison,39,0.1281714210595504
Outdoor storage,38,0.12488497436571577
Underground car park,35,0.11502563428421192
Heathland,34,0.11173918759037728
Vehicle Repair Workshop,34,0.11173918759037728
Barbeque,33,0.10845274089654267
Other outdoor equipment/machinery,32,0.10516629420270804
Roadside vegetation,32,0.10516629420270804
Cinema,30,0.09859340081503878
Theatre,30,0.09859340081503878
Other Residential Home,30,0.09859340081503878
False Alarm - Property not found,29,0.09530695412120416
Central Government Office,28,0.09202050742736953
Museum,27,0.0887340607335349
River/canal,27,0.0887340607335349
Other private non-residential building,27,0.0887340607335349
House in Multiple Occupation - Up to 2 storeys (not known if licensed),27,0.0887340607335349
Call Centre,26,0.08544761403970028
Woodland/forest - broadleaf/hardwood,25,0.08216116734586565
Art Gallery,25,0.08216116734586565
Multi-Storey car park,24,0.07887472065203102
Train station - platform (at ground level or elevated),24,0.07887472065203102
Local Government Office,24,0.07887472065203102
Other industrial manufacturing facility,23,0.0755882739581964
Other medical establishment (including surgery),22,0.07230182726436177
Passenger plane,22,0.07230182726436177
